gender_no,AGE,Sedentary,Moderately active,Active
1,2,1000,1000,1000
1,3,1000,1400,1400
1,4,1200,1400,1600
1,5,1200,1400,1600
1,6,1400,1600,1800
1,7,1400,1600,1800
1,8,1400,1600,2000
1,9,1600,1800,2000
1,10,1600,1800,2200
1,11,1800,2000,2200
1,12,1800,2200,2400
1,13,2000,2200,2600
1,14,2000,2400,2800
1,15,2200,2600,3000
1,16,2400,2800,3200
1,17,2400,2800,3200
1,18,2400,2800,3200
1,19,2600,2800,3000
1,20,2600,2800,3000
1,21,2400,2800,3000
1,22,2400,2800,3000
1,23,2400,2800,3000
1,24,2400,2800,3000
1,25,2400,2800,3000
1,26,2400,2600,3000
1,27,2400,2600,3000
1,28,2400,2600,3000
1,29,2400,2600,3000
1,30,2400,2600,3000
1,31,2400,2600,3000
1,32,2400,2600,3000
1,33,2400,2600,3000
1,34,2400,2600,3000
1,35,2400,2600,3000
1,36,2400,2600,2800
1,37,2400,2600,2800
1,38,2400,2600,2800
1,39,2400,2600,2800
1,40,2400,2600,2800
1,41,2200,2600,2800
1,42,2200,2600,2800
1,43,2200,2600,2800
1,44,2200,2600,2800
1,45,2200,2600,2800
1,46,2200,2400,2800
1,47,2200,2400,2800
1,48,2200,2400,2800
1,49,2200,2400,2800
1,50,2200,2400,2800
1,51,2200,2400,2800
1,52,2200,2400,2800
1,53,2200,2400,2800
1,54,2200,2400,2800
1,55,2200,2400,2800
1,56,2200,2400,2600
1,57,2200,2400,2600
1,58,2200,2400,2600
1,59,2200,2400,2600
1,60,2200,2400,2600
1,61,2000,2400,2600
1,62,2000,2400,2600
1,63,2000,2400,2600
1,64,2000,2400,2600
1,65,2000,2400,2600
1,66,2000,2200,2600
1,67,2000,2200,2600
1,68,2000,2200,2600
1,69,2000,2200,2600
1,70,2000,2200,2600
1,71,2000,2200,2600
1,72,2000,2200,2600
1,73,2000,2200,2600
1,74,2000,2200,2600
1,75,2000,2200,2600
1,76,2000,2200,2400
0,2,1000,1000,1000
0,3,1000,1200,1400
0,4,1200,1400,1400
0,5,1200,1400,1600
0,6,1200,1400,1600
0,7,1200,1600,1800
0,8,1400,1600,1800
0,9,1400,1600,1800
0,10,1400,1800,2000
0,11,1600,1800,2000
0,12,1600,2000,2200
0,13,1600,2000,2200
0,14,1800,2000,2400
0,15,1800,2000,2400
0,16,1800,2000,2400
0,17,1800,2000,2400
0,18,1800,2000,2400
0,19,2000,2200,2400
0,20,2000,2200,2400
0,21,2000,2200,2400
0,22,2000,2200,2400
0,23,2000,2200,2400
0,24,2000,2200,2400
0,25,2000,2200,2400
0,26,1800,2000,2400
0,27,1800,2000,2400
0,28,1800,2000,2400
0,29,1800,2000,2400
0,30,1800,2000,2400
0,31,1800,2000,2200
0,32,1800,2000,2200
0,33,1800,2000,2200
0,34,1800,2000,2200
0,35,1800,2000,2200
0,36,1800,2000,2200
0,37,1800,2000,2200
0,38,1800,2000,2200
0,39,1800,2000,2200
0,40,1800,2000,2200
0,41,1800,2000,2200
0,42,1800,2000,2200
0,43,1800,2000,2200
0,44,1800,2000,2200
0,45,1800,2000,2200
0,46,1800,2000,2200
0,47,1800,2000,2200
0,48,1800,2000,2200
0,49,1800,2000,2200
0,50,1800,2000,2200
0,51,1600,1800,2200
0,52,1600,1800,2200
0,53,1600,1800,2200
0,54,1600,1800,2200
0,55,1600,1800,2200
0,56,1600,1800,2200
0,57,1600,1800,2200
0,58,1600,1800,2200
0,59,1600,1800,2200
0,60,1600,1800,2200
0,61,1600,1800,2000
0,62,1600,1800,2000
0,63,1600,1800,2000
0,64,1600,1800,2000
0,65,1600,1800,2000
0,66,1600,1800,2000
0,67,1600,1800,2000
0,68,1600,1800,2000
0,69,1600,1800,2000
0,70,1600,1800,2000
0,71,1600,1800,2000
0,72,1600,1800,2000
0,73,1600,1800,2000
0,74,1600,1800,2000
0,75,1600,1800,2000
0,76,1600,1800,2000
